Date|Period|ptdfFR|ptdfDE|ptdfAT|ptdfBE|ptdfNL|ram|Class|idDayType|TypicalDay
2019-01-22|3|0.00465|0|-0.19574|0.00166|0|972|winterSe|1|TRUE
2019-01-22|3|0.15989|0.19643|0.18911|0.13762|0|409|winterSe|1|TRUE
2019-01-22|3|0.00019|0.00252|-0.11878|0.00274|0|603|winterSe|1|TRUE
2019-01-22|3|0.00084|-0.00283|0.0552|0|0|295|winterSe|1|TRUE
2019-01-22|3|-0.00523|0.01876|-0.09077|0.01456|0.0218|610|winterSe|1|TRUE
2019-01-22|3|0.02021|0.02021|0.06948|0.01651|0|280|winterSe|1|TRUE
2019-01-22|3|-0.00204|0.00208|-0.11897|-0.00204|0|602|winterSe|1|TRUE
2019-01-22|3|0.00301|-0.00153|0.05521|-0.00078|0|294|winterSe|1|TRUE
2019-01-22|3|-0.0049|-0.0049|-0.12453|-0.00084|0|596|winterSe|1|TRUE
2019-01-22|3|0.16112|0.19685|0.18974|0.13834|0|409|winterSe|1|TRUE
2019-01-22|3|0.00019|0.00251|-0.11815|-0.00182|0|602|winterSe|1|TRUE
2019-01-22|3|0.07935|-0.00835|0.00468|0.21517|0.19595|1553|winterSe|1|TRUE
2019-01-22|3|0|0|-0.19647|-0.00159|0|967|winterSe|1|TRUE
2019-01-22|3|0.06902|0.0822|0.10727|0.05808|0|280|winterSe|1|TRUE
2019-01-22|3|-0.00718|-0.01165|0.04203|-0.0084|0|294|winterSe|1|TRUE
2019-01-22|3|0.00334|0|-0.19518|0|0|967|winterSe|1|TRUE
2019-01-22|3|-0.01049|0.01459|0.17582|-0.00394|0|837|winterSe|1|TRUE
2019-01-22|3|0.00349|0|0.05736|0.00092|0|291|winterSe|1|TRUE
2019-01-22|3|-0.01232|0|-0.11764|-0.00245|0|596|winterSe|1|TRUE
2019-01-22|3|0.00142|0.00253|-0.11944|0.00142|0|603|winterSe|1|TRUE
2019-01-22|3|-0.26485|-0.16685|-0.18877|-0.35801|0|865|winterSe|1|TRUE
2019-01-22|3|0.00889|-0.01831|-0.20141|0.00229|0|972|winterSe|1|TRUE
2019-01-22|3|-0.00891|0.01668|0.1775|-0.00398|0|837|winterSe|1|TRUE
2019-01-22|3|-0.00338|-0.00338|-0.12363|0|0|596|winterSe|1|TRUE
2019-01-22|3|0|0|0|-1|0|5500|winterSe|1|TRUE
2019-01-22|3|0.023|0.023|0.07105|0.01818|0|280|winterSe|1|TRUE
2019-01-22|3|0.00194|-0.00436|0.05213|0|0|295|winterSe|1|TRUE
2019-01-22|3|0.16025|0.19543|0.18816|0.13583|0|409|winterSe|1|TRUE
2019-01-22|3|0.00132|-0.00177|0.05655|2e-05|0|295|winterSe|1|TRUE
